,Date,User,Tweet,Likes,Retweets,Replies
0,2022-05-19 15:39:16+00:00,TheBridge_Tech,"¡Qué poco queda para el próximo 🔥Burn Monday🔥! Lunes 23 de mayo a las 18h. aplicaremos la #IA en un viaje por obras pictóricas y hablaremos de la metodología de un Hackaton con dos alumnis de #DataScience ¡Saca tu entrada y ven a tomarte un @burn_es!🔋⬇
https://t.co/6mNJvlmi9F",0,2,0
1,2022-05-18 15:23:22+00:00,TheBridge_Tech,"Esta es la historia de Isis🤗 que decidió hacer un cambio en su vida profesional haciendo el #bootcamp de #uxui. Ahora, compagina su trabajo con el de Teacher Assistant en @TheBridge_Tech. El camino es duro pero seguro dará sus frutos👩‍💻¡Gracias Isis por compartir tu experiencia! https://t.co/1UHKZW0UxN",0,0,0
2,2022-05-18 11:26:31+00:00,TheBridge_Tech,Gracias @victorianoI y equipo por el análisis con @graphext de los datos en educación y tecnología que vimos ayer en la primera charla de #letstalkabouteducation en @TheBridge_Tech y que pudimos debatir con @ikerarceseco Sin duda aprendimos mucho ¡Volved cuando queráis! 🧵Hilo 📊 https://t.co/bLxwCvBQN5 https://t.co/wZSVGve1sn,0,0,0
3,2022-05-18 08:31:13+00:00,Bcasapp,"¿Cómo combatir el paro juvenil🥵? #tipdeldia En un país con una tasa de paro récord, hay que elegir bien dónde y qué estudiar.

Si os queréis especializar en el sector digital, os animamos a hacerlo con @TheBridge_Tech, que cuenta con un 92% de empleabilidad... ¡Y CON BECA 👇! https://t.co/2OBZSnVk7r",8,4,1
4,2022-05-17 14:53:47+00:00,TheBridge_Tech,"¿Con ganas de probar si un empleo tecnológico es para ti? Ven a los talleres del campus de #Sevilla @ENCamaraSevilla 

24 Mayo ➡Taller #DataScience 
25 Mayo ➡Taller #DesarrolloWebFullStack
26 Mayo ➡Taller #Ciberseguridad
1 Junio ➡ Open Day

🎟Entradas https://t.co/Cp05ZJBqVa https://t.co/Vyqa1l94hr",2,2,0
5,2022-05-17 08:28:26+00:00,PdelaPublicidad,Los perfiles tecnológicos más demandados en el futuro @TheBridge_Tech https://t.co/j93jBWSLij,1,2,0
6,2022-05-16 09:31:13+00:00,arey,La 2da presentación-coloquio del #LibroIC en #Madrid será el J26Mayo(18:30) en @TheBridge_Tech con Tíscar Lara (@tiscar) y Mario López de Ávila (@nodosenlared)  +Información e inscripciones: https://t.co/OVzv1SdR7x ¡¡Compártelo!!,4,4,0
7,2022-05-14 19:19:17+00:00,Alberto_Blanco,"Sin desmerecer el espectáculo del 28 de mayo en Paris, el 26 a las 18:30 en Madrid, @arey presenta su #libroIC en @TheBridge_Tech Entradas aquí https://t.co/4MM6HyxTrf",1,0,0
8,2022-05-13 09:54:44+00:00,graphext,"Next week our CEO @victorianoi will be at @Thebridge_tech with @ikerarceseco to discuss the education sector 🎓 from a data-driven perspective. Join us online or at Paseo de Recoletos, 15, Madrid, to debate the challenges and opportunities the sector faces🚀 https://t.co/Vfbji4VN4b",2,0,0
9,2022-05-13 09:36:44+00:00,apedreroes,@TheBridge_Tech @ikerarceseco @victorianoi @graphext Hola @TheBridge_Tech. ¿Por qué es obligatorio dar el número de teléfono para un evento que es en línea?,0,0,0
10,2022-05-12 16:55:14+00:00,TheBridge_Tech,"Descubre las posibilidades y misterios que oculta el #metaverso con @HavasGroupES 😎 Hablaremos de tipos de metaverso, estrategias de onboarding, casos reales... ¡Promete ser muy interesante! Próximo 19 de mayo a las 17.30h.
Consigue tus entradas 🎟https://t.co/KxeTH2ICpc",0,0,0
11,2022-05-12 13:08:59+00:00,TheBridge_Tech,"📻Los #bootcamps son para ""cualquier persona que quiera un empleo tecnológico de calidad"", como bien explican Inés García Clariana y @AmparoGalbis1 en ""La Tarde con Marina"" en @999plazaradio. Escucha la entrevista completa de nuestro equipo de #Valencia🔊https://t.co/7HNlE0vpmO",0,0,0
12,2022-05-10 20:02:12+00:00,TheBridge_Tech,"👾 El caso #Pegasus, un ejemplo más de #ciberespionaje que pone en relevancia la necesidad de expertos en #ciberseguridad

Te contamos qués es 🕵️‍♀️ y para qué fue creado 👇 https://t.co/kyzgkQDZ8N",0,0,0
13,2022-05-10 15:46:04+00:00,TheBridge_Tech,¡”Let’s talk about education”! Os invitamos a la primera sesión del nuevo ciclo de conferencias sobre #educación @ikerarceseco y @victorianoi debatirán sobre los datos en el sector y descubriremos @graphext plataforma de #datascience no code. Entradas🎟 https://t.co/ksTzmzqqLQ,1,0,1
14,2022-05-09 08:03:51+00:00,TheBridge_Tech,"¡Vamos con los talleres de mayo! Este mes tenemos un montón de #freeevents 👩‍💻Metaverso, OSINT, Sistemas de diseño UX/UI, un coloquio sobre educación ... ¡No esperes más y saca ya tu entrada! 🎟https://t.co/Nlwg6cTDOa https://t.co/zWjT1I2AER",0,0,0
15,2022-05-05 15:06:00+00:00,TheBridge_Tech,👏🚀Lanzamos una nueva edición de las #becas Digital Talent Pipeline para cursar un #bootcamp en junio y septiembre ¿Quieres solicitar la tuya? Plazo hasta el 30 de mayo ¡Date prisa #digitaltalent! ➡https://t.co/PXFR0q85F7 https://t.co/qwiGSm4WOI,0,1,0
16,2022-05-05 07:22:39+00:00,arey,La 2da presentación del #LibroIC en #Madrid será el J26Mayo(18:30) en @TheBridge_Tech acompañados por  Tíscar Lara (@tiscar) y Mario López de Ávila (@nodosenlared) sobre impacto de la #IC en el diseño y gestión de las organizaciones. +Info/inscripciones: https://t.co/OVzv1SdR7x,4,2,0
17,2022-05-04 15:15:00+00:00,TheBridge_Tech,"🤩¿Quieres conocer el talento digital que llevas dentro? ¡Ven a nuestro Open Day y descúbrelo! 

📅Viernes 20 de mayo 11.15h en Paseo de Recoletos 15, Madrid.

🎟Saca tus entradas👇👇https://t.co/qq3WqsydKv",0,0,0
18,2022-04-28 16:17:33+00:00,spaingeneration,"¡Gracias a todos por el día de hoy! 😍😍

De la mano de: @AccentureSpain , Bonus Studios, @Making_Science_ @SomosMiogroup , Silicon HR , y @TheBridge_Tech hemos podido acercar el futuro talento digital hacia el mundo laboral 🔝 🔝 

#talent #empresas #marketing #BeGeneration https://t.co/wLbzhtXb94",1,0,0
19,2022-04-28 15:55:26+00:00,JM_Torralba_,En breve empezamos la charla sobre RV y Psicología! Todo ready! @TheBridge_Tech https://t.co/lW3fvKhcGZ,15,1,0
20,2022-04-27 21:44:03+00:00,JM_Torralba_,Mañana estaré junto a @LucaMefisto en una mesa redonda en @TheBridge_Tech donde hablaremos de la relación que hay entre #psicologia y la #realidadvirtual. Pinta interesante!!… https://t.co/FXt3Zdj7Uh,6,1,0
21,2022-04-27 16:53:38+00:00,bertinha84,"Acabo de escuchar la charla de @kairos_ds en @TheBridge_Tech. Ahora que todo lo que tengo que aprender me abruma. Escuchar que si llego a la meta, me esperará una empresa así (ojalá), un equipo en el que se respire ese buen rollo y amor por el trabajo, me da fuerza para pelear",8,0,0
22,2022-04-27 15:32:18+00:00,gabinha,@pmdr_1189 @TheBridge_Tech Lamentablemente,1,0,0
23,2022-04-27 08:03:22+00:00,IrnMM,"Esto es hoy! 
Nos vemos en @TheBridge_Tech con @quierodata para hablar de crecimiento dentro de @kairos_ds 🧡 https://t.co/miTZChXSwJ",5,1,0
24,2022-04-27 06:55:39+00:00,TheBridge_Tech,@burn_es Prueba de ello 📸🔥 https://t.co/7SWL2ionj3,2,1,0
25,2022-04-26 14:58:20+00:00,kairos_ds,"Nuestra Head de Data &amp; IA @quierodata, estará mañana en las oficinas de @TheBridge_Tech, para hablar de las oportunidades de crecimiento profesional dentro de Kairós DS.🤩 

@IrnMM la acompañará resolviendo cualquier duda sobre Kairós DS… 

¿Te veremos allí?🧡

#OrgulloKairós https://t.co/0hUC9XkPxF",7,5,0
26,2022-04-26 14:41:09+00:00,BerrocalRuben,"Los compañeros de @TheBridge_Tech nos hablan de #softskills en IT, en #devspega junto a @flyncercom 
El valor diferencial de todo profesional. https://t.co/0On5h6N9hR",0,0,0
27,2022-04-26 11:12:18+00:00,COGITIValencia,"#ESTAPASANDO Talento y competencias digitales #SP22
Inés Garcia @TheBridge_Tech
Enric Montesa @COEV_COM
Leticia Gonzalvez Directora marketing @sesamehr_
La competencia digital demandada en las empresas no son las básicas que todos tenemos. https://t.co/orPM5iTbPE",3,0,1
28,2022-04-26 11:06:11+00:00,burn_es,Tenemos que decir que el BURN Mondays de ayer con @TheBridge_Tech fue muy top! 🔝​❤️‍🔥,3,1,1
29,2022-04-25 15:05:53+00:00,TheBridge_Tech,"Este jueves Job Market Place en @TheBridge_Tech con @spaingeneration La feria de empleo con el mejor talento de #marketingdigital @AccentureSpain, @Siliconhr1, ... participarán en busca del mejor talento. Si eres empresa y quieres participar 👉https://t.co/0n4iufzfmi https://t.co/A51YStbfjF",0,0,0
30,2022-04-25 09:58:29+00:00,TheBridge_Tech,"""Necesitaba formación técnica para potenciar mi empleabilidad"", cuenta nuestra alumni Clara Bayón a @el_pais 🗞Tras hacer el #bootcamp en #ciberseguridad ahora trabaja en @DeloitteDE Check it out! 👉https://t.co/XGIPZfmtx6 https://t.co/7jrVa74qTG",0,0,0
31,2022-04-22 08:43:37+00:00,MujeresaSeguir,Mercedes Mac Pherson @Globant : 'Hay un desconocimiento grande del poder de transformación de la tecnología' #mujerytecnología @TheBridge_Tech https://t.co/OFDlmziC1y,2,0,0
32,2022-04-22 08:33:23+00:00,MujeresaSeguir,Sara Gómez @RainG 'La sociedad no sabe lo que hacemos los ingenieros y los tecnólogos' #mujerytecnología @TheBridge_Tech @Globant https://t.co/lYFyIZuW3J,5,1,0
33,2022-04-22 08:29:12+00:00,MujeresaSeguir,Comienza nuestra segunda mesa 'Cómo construir un futuro que nos representa'. Aquí te dejamos el enlace para seguirnos en streaming https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech https://t.co/kApsKZ04SD,2,0,0
